0.026	0.16009
0.019	0.160165
0.032	0.160124
0.021	0.160077
0.03	0.160161
0.034	0.160075
0.026	0.16007
0.018	0.160078
0.026	0.160141
0.019	0.160094
0.046	0.160069
0.026	0.160082
0.029	0.160148
0.049	0.160147
0.024	0.160082
0.038	0.160152
0.016	0.160179
0.025	0.160156
0.036	0.160137
0.045	0.160069
0.056	0.160031
0.04	0.160084
0.021	0.160097
0.02	0.160157
0.048	0.160071
0.018	0.160088
0.029	0.160135
0.051	0.160095
0.017	0.160087
0.031	0.160092
0.019	0.16012
0.036	0.16015
0.023	0.16015
0.026	0.160077
0.051	0.160171
0.034	0.160086
0.044	0.160056
0.039	0.160163
0.031	0.160079
0.031	0.160154
0.029	0.160083
0.024	0.160086
0.042	0.160047
0.034	0.160118
0.033	0.160157
0.06	0.16007
0.027	0.160088
0.042	0.160093
0.054	0.160156
0.032	0.160167

0.01	0.160001
0.0115	0.159962

