0->1	1616518
0->2	1608575
0->7	2256051
1->0	1445701
1->2	1217005
1->3	2407964
2->0	1438198
2->1	1225508
2->5	2789763
3->1	2231852
3->4	2567681
3->10	2794879
4->3	2385895
4->5	2242926
4->6	1964470
5->2	2631942
5->4	2582761
5->9	1838892
5->13	2424853
6->4	1450393
6->7	1794479
7->0	2596937
7->6	1281770
7->8	2986038
8->7	2824653
8->9	1441091
8->11	2405319
8->12	1226902
9->5	2020046
9->8	1262454
10->3	2796409
10->11	1856879
10->12	823435
11->8	2418700
11->10	1850105
11->13	1253437
12->8	1226517
12->10	824286
12->13	618927
13->5	2424229
13->11	1259994
13->12	613963

0->1	1615904
0->2	1606995
0->7	2266766
1->0	1460341
1->2	1222244
1->3	2398305
2->0	1448672
2->1	1232650
2->5	2774429
3->1	2239026
3->4	2535913
3->10	2776642
4->3	2368249
4->5	2253207
4->6	1944003
5->2	2635168
5->4	2562331
5->9	1850887
5->13	2426294
6->4	1472503
6->7	1785522
7->0	2581721
7->6	1315327
7->8	2964039
8->7	2820611
8->9	1455674
8->11	2395412
8->12	1238406
9->5	2019234
9->8	1290582
10->3	2780694
10->11	1871277
10->12	835758
11->8	2412056
11->10	1864974
11->13	1277515
12->8	1238228
12->10	836202
12->13	628136
13->5	2426239
13->11	1287030
13->12	622170

0->1	1613840
0->2	1601572
0->7	2272702
1->0	1471684
1->2	1231070
1->3	2384157
2->0	1458932
2->1	1241666
2->5	2752705
3->1	2243752
3->4	2496594
3->10	2754911
4->3	2346491
4->5	2259874
4->6	1921185
5->2	2634048
5->4	2536354
5->9	1861480
5->13	2423546
6->4	1495999
6->7	1778705
7->0	2559960
7->6	1354245
7->8	2932605
8->7	2809468
8->9	1476113
8->11	2379876
8->12	1251784
9->5	2019412
9->8	1322978
10->3	2759844
10->11	1881964
10->12	855304
11->8	2400259
11->10	1877159
11->13	1303212
12->8	1254545
12->10	852924
12->13	640388
13->5	2421890
13->11	1316986
13->12	634036

0->1	1609047
0->2	1592842
0->7	2273159
1->0	1481041
1->2	1237658
1->3	2366078
2->0	1469288
2->1	1249076
2->5	2721950
3->1	2244234
3->4	2449002
3->10	2724394
4->3	2316329
4->5	2262300
4->6	1895668
5->2	2628116
5->4	2502233
5->9	1871799
5->13	2416794
6->4	1519647
6->7	1770599
7->0	2529191
7->6	1395051
7->8	2891749
8->7	2787737
8->9	1496936
8->11	2356621
8->12	1269749
9->5	2015448
9->8	1358104
10->3	2729683
10->11	1889314
10->12	877072
11->8	2379598
11->10	1881465
11->13	1333593
12->8	1273386
12->10	875192
12->13	656597
13->5	2417835
13->11	1346729
13->12	651507

0->1	1599794
0->2	1582296
0->7	2265611
1->0	1488941
1->2	1242146
1->3	2340344
2->0	1472776
2->1	1255655
2->5	2684147
3->1	2240099
3->4	2398644
3->10	2683944
4->3	2279858
4->5	2258016
4->6	1873427
5->2	2610959
5->4	2463607
5->9	1877346
5->13	2404138
6->4	1541447
6->7	1763906
7->0	2491607
7->6	1432427
7->8	2846864
8->7	2757755
8->9	1516309
8->11	2327139
8->12	1289931
9->5	2007887
9->8	1390164
10->3	2695124
10->11	1887373
10->12	900785
11->8	2349854
11->10	1881827
11->13	1358092
12->8	1294237
12->10	900960
12->13	676135
13->5	2404540
13->11	1372210
13->12	672581

0->1	1585890
0->2	1566997
0->7	2246548
1->0	1484951
1->2	1247559
1->3	2309128
2->0	1471538
2->1	1256430
2->5	2642052
3->1	2229598
3->4	2346280
3->10	2637342
4->3	2243072
4->5	2245265
4->6	1851133
5->2	2582882
5->4	2422981
5->9	1875986
5->13	2386149
6->4	1557440
6->7	1753072
7->0	2450888
7->6	1457486
7->8	2790319
8->7	2716812
8->9	1534526
8->11	2292644
8->12	1307608
9->5	1995129
9->8	1420657
10->3	2653682
10->11	1875098
10->12	922738
11->8	2315815
11->10	1872391
11->13	1374248
12->8	1313293
12->10	923902
12->13	697295
13->5	2385598
13->11	1390348
13->12	695330

